filial;produto;armazem;quantidade;custo_unitario
01;02000001;01;89;41,5411
01;02000001;02;434;41,5411
01;02000002;01;88;39,5816
01;02000003;01;47;31,805
01;02000003;02;80;31,805
01;02000004;01;31;81,506
01;02000004;02;89;88,2866
01;02000005;01;59;61,6459
01;02000005;05;189,6491;52,8314
01;02000005;12;72;48,1806
01;02000006;01;148;23,5836
01;02000006;02;1534;23,5943
01;02000006;12;-14;127,9768
01;02000007;05;385,7317;38,0014
01;02000007;24;1;36,9047
01;02000008;01;56;61,7187
01;02000008;02;935;61,7187
01;02000009;01;109;23,9946
01;02000009;02;351;23,9946
01;02000010;01;20;7,202
01;02000010;02;2205;6,402
01;02000011;01;145;29,9277
01;02000011;02;162;29,059
01;02000011;12;-86;73,7504
01;02000012;01;110;67,9018
01;02000012;02;72;67,9018
01;02000013;01;62;51,5595
01;02000014;01;705;6,677
01;02000014;02;1522;6,6761
01;02000014;24;6;6,6823
01;02000015;01;440;6,9227
01;02000015;02;3728;6,9234
01;02000015;12;-22;5,1502
01;02000016;01;280;6,3983
01;02000016;02;2426;6,402
01;02000017;01;35;127,3391
01;02000017;02;118;127,3391
01;02000018;01;58;66,977
01;02000018;02;19,1329;67,2255
01;02000018;12;-15;105,6066
01;02000018;24;2;65,4785
01;02000019;01;144;32,6506
01;02000019;02;895;32,6242
01;02000019;12;-3;3103,9405
01;02000020;02;95;56,5688
01;02000020;12;-1;53,4202
01;02000021;01;44;233,5937
01;02000022;01;31;98,6957
01;02000022;02;48;98,7071
01;02000023;01;34;77,1513
01;02000023;02;157;77,1513
01;02000024;01;33;71,6234
01;02000024;02;83;71,6234
01;02000025;01;33;162,8865
01;02000026;01;17;78,2091
01;02000026;02;160;78,8567
01;02000027;01;24;83,8993
01;02000028;01;12;61,4751
01;02000028;02;160;61,7187
01;02000028;12;-2;86,7268
01;02000029;01;15;291,31
01;02000029;12;36;291,3099
01;02000030;01;21;183,7787
01;02000030;02;132;183,7787
01;02000032;01;19;259,7758
01;02000032;12;2;262,5767
01;02000033;12;-2;125,4554
01;02000034;12;21;133,4137
01;02000035;01;15;118,5253
01;02000036;01;187;23,637
01;02000036;02;667;23,6371
01;02000037;01;145;12,7118
01;02000037;02;1551;12,7044
01;02000037;12;-20;195,6578
01;02000039;01;15;16,2284
01;02000039;02;749;16,2272
01;02000040;01;93;5,2056
01;02000040;02;3401;5,2022
01;02000040;12;-50;4,8897
01;02000040;24;1;5,1874
01;02000042;01;15;242,3318
01;02000043;01;34;155,6059
01;02000045;05;24,0351;248,9022
01;02000046;01;7;166,0375
01;02000047;01;6;205,5522
01;02000047;02;14;205,5522
01;02000049;01;437;10,9843
01;02000049;02;1292;10,9831
01;02000049;12;-18;11,0186
01;02000050;01;247;11,1439
01;02000050;02;1815;11,1359
01;02000052;01;141;14,626
01;02000052;02;2261;14,6261
01;02000056;01;158;15,2519
01;02000056;02;593;15,1848
01;02000056;12;460;14,1166
01;02000056;24;6;15,3372
01;02000057;01;534;23,2293
01;02000057;02;405;23,4543
01;02000058;01;86;31,3609
01;02000058;02;146;31,4089
01;02000058;12;150;33,9334
01;02000059;01;61;51,1562
01;02000059;02;285;51,1562
01;02000065;01;139;18,426
01;02000065;02;747;18,4261
01;02000066;01;372;4,7115
01;02000066;02;6455;4,7115
01;02000070;01;9;163,2111
01;02000070;02;115;163,2111
01;02000071;12;-15;84,8633
01;02000072;12;15;121,4534
01;02000076;01;8;442,0638
01;02000076;02;8;442,0638
01;02000078;12;13;112,7817
01;02000079;12;-1;148,3069
01;02000081;01;153;6,5874
01;02000082;01;183;7,7843
01;02000082;02;1058;7,7843
01;02000087;01;7;47,2052
01;02000087;02;264;47,3369
01;03000003;12;41;167,9395
01;03000005;01;6;182,9764
01;03000005;12;-10;-3788,3714
01;03000006;01;131;26,2711
01;03000006;12;-34;27,5629
01;03000007;01;333;7,0192
01;03000007;02;5639;7,0194
01;03000007;12;-80;18,1329
01;03000008;02;63;443,8158
01;03000008;12;-1;417,0658
01;03000009;01;67;62,7866
01;03000009;12;-65;70,4688
01;03000011;01;276;10,5264
01;03000011;02;610;10,705
01;03000011;12;-63;100,2576
01;03000011;24;4;11,8759
01;03000012;01;339;10,6908
01;03000012;02;877;10,6908
01;03000013;12;369;42,4672
01;03000014;01;47;79,0683
01;03000014;02;669,7213;79,9166
01;03000014;12;-2;78,3126
01;03000021;12;-110;44,1609
01;04000010;01;1;58,7915
01;04000010;02;221;60,5625
01;04000010;26;1;60,5625
01;04000015;01;19;8,3814
01;04000015;02;120;8,3814
01;04000015;26;1;8,3814
01;04000017;01;15;2,4996
01;04000017;02;100;2,4996
01;04000017;26;1;2,4996
01;04000019;01;84;1,7196
01;04000020;01;23;33,5158
01;04000020;02;195;33,5283
01;04000020;26;1;33,5283
01;04000022;01;30;4,3977
01;04000024;02;150;3,5044
01;04000024;12;25;3,5044
01;04000024;26;1;3,5044
01;04000026;01;4;18,0534
